Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
acp1-autosol-metal-polish-tube-75ml,ACP1 - AUTOSOL METAL POLISH TUBE 75ML*,"Description ACP1 – Autosol Metal Polish Tube 75ml Bring dull metal back to life with Autosol Metal Polish , a world-renowned formula made in Germany that cleans, restores and polishes metal surfaces to a brilliant high shine. This high-performance polish removes tarnish, oxidation and light corrosion while leaving behind a protective coating that helps guard against future damage. The convenient 75ml paste tube provides concentrated cleaning power, making it perfect for workshop use, motorcycles, automotive parts, tools and household metals. Features: Cleans, restores and polishes metal surfaces Leaves a protective coating for lasting shine Removes tarnish, oxidation and light corrosion High-quality formula made in Germany Compact and convenient 75ml paste tube Important: Do not use on brushed stainless steel as it may damage the surface finish.",Autosol,,Polish,"MCS, Autosol, Polish",FALSE,Title,Default Title,ACP1,0,shopify,0,deny,manual,19.95,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP1.png?20240426100051,1,draft
acp10-autosol-aluminium-polish-75ml,ACP10 - AUTOSOL ALUMINIUM POLISH 75ML*,"Description ACP10 – Autosol Aluminium Polish 75ml Autosol Aluminium Polish , proudly made in Germany , is specially formulated for aluminium and alloy surfaces . It cleans, polishes, and protects, leaving a brilliant mirror finish while safeguarding the metal against oxidation and corrosion. Features: Cleans and restores aluminium and alloy surfaces Polishes to a mirror-like shine Provides a protective layer to maintain finish High-quality German formulation Convenient 75ml tube for precise application Perfect for motorcycle parts, automotive trim, tools, and any aluminium or alloy components that need a professional shine.",Autosol,,Polish,"MCS, Autosol, Polish",FALSE,Title,Default Title,ACP10,0,shopify,0,deny,manual,18.05,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP10.png?20230628085142,1,draft
acp11-autosol-leather-cleaner-75ml,ACP11 - AUTOSOL LEATHER CLEANER 75ML*,"Description ACP11 – Autosol Leather Cleaner 75ml Autosol Leather Cleaner , made in Germany, is a concentrated paste formula designed to clean, protect, and restore all leather and vinyl surfaces . Features: Effectively removes dirt and grime from leather and vinyl Protects surfaces from drying, cracking, and wear Restores natural appearance and suppleness High-quality German formulation Convenient 75ml tube for easy application Ideal for motorcycle seats, car interiors, furniture, and any leather or vinyl surfaces that need gentle but effective care.",Autosol,,Cleaner,"MCS, Autosol, Cleaner",FALSE,Title,Default Title,ACP11,0,shopify,0,deny,manual,18.05,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP11.png?20230628084934,1,draft
acp12-autosol-metal-life-saver-250ml,ACP12 - AUTOSOL METAL LIFE SAVER 250ML*,"Description ACP12 – Autosol Metal Life Saver 250ml Autosol Metal Life Saver , made in Germany, is a powerful, heavy-duty corrosion and stain remover designed for all metal surfaces. Features: Removes rust, tarnishing, and oxidation quickly and effectively Can tackle bluing and stubborn surface corrosion Easy to use – simply wipe on, rub off Restores metals to a bright, clean finish Supplied in a 250ml bottle for convenient application Ideal for tools, motorcycle parts, automotive components, and any metal surfaces requiring restoration from corrosion or staining.",Autosol,,Motorcycle Part,"MCS, Autosol, Motorcycle Part",FALSE,Title,Default Title,ACP12,0,shopify,0,deny,manual,25.1,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP12.jpg?20220413143706,1,draft
acp16-autosol-metal-polish-350-gram,ACP16 - AUTOSOL METAL POLISH 350 GRAM*,"Description ACP16 – Autosol Metal Polish 350g Autosol Metal Polish , made in Germany, is a high-performance metal cleaner and polish designed to restore and protect metal surfaces. Features: Cleans and polishes metals to a brilliant, mirror-like shine Leaves a protective coating for long-lasting protection Supplied in a 350g paste tube , providing concentrated cleaning power Easy to apply and buff off for a professional finish Caution: Do not use on brushed stainless steel – may damage the surface Ideal for motorcycle parts, automotive components, tools, and all metal surfaces that need a polished, protected finish.",Autosol,,Polish,"MCS, Autosol, Polish",FALSE,Title,Default Title,ACP16,0,shopify,0,deny,manual,46.85,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP16.png?20230628084901,1,draft
acp17-autosol-bike-cleaner-500ml,ACP17 - AUTOSOL BIKE CLEANER 500ML*,"Description ACP17 – Autosol Bike Cleaner 500ml Autosol Bike Cleaner is a water-based, solvent-free cleaner specially formulated for motorcycles and bicycles. Features: Safely removes insects, brake dust, oils, road grime, and other residues Effective on all parts of the bike – frame, wheels, plastics, metals, and painted surfaces Gentle yet powerful formula that won’t damage finishes Environmentally friendly water-based solution Perfect for routine bike maintenance to keep your motorcycle or bicycle looking clean and well-maintained without harsh chemicals.",Autosol,,Cleaner,"MCS, Autosol, Cleaner",FALSE,Title,Default Title,ACP17,0,shopify,0,deny,manual,38.6,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP17.png?20230628085114,1,draft
acp18-autosol-fast-clean-polish-500ml,ACP18 - AUTOSOL FAST CLEAN/POLISH 500ML*,"Description ACP18 – Autosol Fast Clean & Polish 500ml Autosol Fast Clean & Polish is a waterless cleaner and polish made in Germany, designed for quick maintenance of motorcycles, bicycles, and vehicles. Features: Cleans light dirt from paintwork, metal parts, and fairings Waterless formula – ideal for on-the-go cleaning without rinsing Leaves a protective shine on treated surfaces Safe on most surfaces , including painted and metal parts Perfect for fast touch-ups when your bike or vehicle has light dirt or dust and you want an instant clean and polished finish.",Autosol,,Polish,"MCS, Autosol, Polish",FALSE,Title,Default Title,ACP18,0,shopify,0,deny,manual,38.6,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP18.png?20230628084757,1,draft
acp19-autosol-bike-polish-wax-50g,ACP19 - AUTOSOL BIKE POLISH/WAX 50G*,"Description ACP19 – Autosol Bike Polish/Wax 50g Autosol Motorbike Polish & Wax is a specialized cleaning and care product designed for weathered and aged painted surfaces on motorcycles and similar vehicles. Features: Restores shine to dull, aged, or weathered paint Cleans and protects in one step Small 50g size – convenient for workshops or on-the-go maintenance Safe for all painted surfaces Ideal for reviving older paintwork while adding a protective wax layer for lasting shine.",Autosol,,Polish,"MCS, Autosol, Polish",FALSE,Title,Default Title,ACP19,0,shopify,0,deny,manual,11.15,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP19.png?20230628084831,1,draft
acp20-autosol-bluing-remover-125ml,ACP20 - AUTOSOL BLUING REMOVER 125ML*,Description ACP20 – Autosol Bluing Remover 125ml Autosol Bluing Remover is a specialist metal cleaner designed to tackle stubborn discoloration and corrosion on stainless steel and chrome surfaces. Features: Removes blueing and heat discoloration from exhaust pipes Eliminates corrosion and rust stains Safe for stainless steel and chrome 125ml convenient size for workshop or home use Perfect for restoring exhausts and metal parts to a like-new appearance.,Autosol,,Motorcycle Part,"MCS, Autosol, Motorcycle Part",FALSE,Title,Default Title,ACP20,0,shopify,0,deny,manual,34.5,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP20.png?20230628084856,1,draft
acp21-autosol-showroom-polish-250ml,ACP21 - AUTOSOL SHOWROOM POLISH 250ML*,"Description ACP21 – Autosol Showroom Polish 250ml Autosol Showroom Polish is a multi-surface polish designed to restore and protect the appearance of vehicles and metal surfaces. Features: Cleans and revitalizes dull paintwork, plastics, alloys, and bright metals Leaves a protected, lasting shine with a thin layer of wax/resin Easy application – does not smear or stick Ideal for showroom finish or regular maintenance to keep surfaces looking new Perfect for achieving a fresh, glossy appearance on cars, motorcycles, and bikes.",Autosol,,Polish,"MCS, Autosol, Polish",FALSE,Title,Default Title,ACP21,0,shopify,0,deny,manual,37.85,,TRUE,TRUE,https://www.mcsonline.com.au/assets/full/ACP21.png?20230628085138,1,draft
